Metric,NC,AD,p_value,significance
num_nodes,61.07 ± 26.60,26.44 ± 12.96,0.0000,***
num_edges,108.57 ± 61.09,39.79 ± 23.95,0.0000,***
avg_degree,3.36 ± 0.83,2.85 ± 0.80,0.0002,***
median_degree,2.53 ± 0.68,2.30 ± 0.60,0.0333,*
clustering,0.11 ± 0.06,0.12 ± 0.10,0.2691,ns
diameter,10.02 ± 3.45,7.79 ± 3.14,0.0000,***
density,0.06 ± 0.02,0.14 ± 0.06,0.0000,***
largest_component_size,61.07 ± 26.60,26.28 ± 13.00,0.0000,***
spl,3.94 ± 1.00,3.33 ± 0.95,0.0002,***
gamma,0.96 ± 1.67,0.96 ± 1.36,0.9743,ns
lambda,1.20 ± 0.13,1.09 ± 0.13,0.0000,***
small_world,0.84 ± 1.69,0.92 ± 1.53,0.7472,ns
