Metric,Real_Networks,Shuffled_Networks,p_value,significance
louvain_num,6.11 ± 1.78,5.86 ± 1.78,8.1705e-05,***
louvain_Q,0.48 ± 0.09,0.41 ± 0.09,1.1078e-35,***
louvain_avg_size,7.29 ± 2.73,7.62 ± 2.73,2.1021e-05,***
dcsbm_num,1.01 ± 0.08,1.00 ± 0.08,3.2875e-01,ns
dcsbm_Q,0.00 ± 0.03,0.00 ± 0.03,3.2123e-01,ns
dcsbm_avg_size,47.43 ± 27.81,47.70 ± 27.81,3.2572e-01,ns
dcsbm_DL,313.57 ± 254.75,344.93 ± 254.75,2.8541e-17,***
infomap_num,7.39 ± 3.89,6.50 ± 3.89,1.8624e-07,***
infomap_Q,0.45 ± 0.14,0.35 ± 0.14,2.1150e-20,***
infomap_avg_size,6.98 ± 4.50,8.73 ± 4.50,3.7965e-04,***
infomap_CL,4.33 ± 0.77,4.56 ± 0.77,4.2423e-28,***
